modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
9.5,148.09642,146.79534,10.67750,15.43196,0.76109,1.29054,9.70846,0.00000,5.27516,5.30378,160.00,160.00,0.00,0.00
9.6,148.37626,146.92698,10.44893,15.49889,0.71973,1.26720,9.67834,0.00000,5.23716,5.26899,160.00,160.00,0.00,0.00
9.7,148.65058,147.04891,10.22367,15.56610,0.68052,1.24442,9.64742,0.00000,5.19916,5.23429,160.00,160.00,0.00,0.00
9.8,148.91944,147.16167,10.00176,15.63358,0.64338,1.22220,9.61570,0.00000,5.16120,5.19969,160.00,160.00,0.00,0.00
9.9,149.18290,147.26573,9.78323,15.70132,0.60820,1.20051,9.58321,0.00000,5.12329,5.16519,160.00,160.00,0.00,0.00
10.0,149.44102,147.36158,9.56813,15.76934,0.57489,1.17936,9.54995,0.00000,5.08544,5.13079,160.00,160.00,0.00,0.00
10.1,149.69386,147.44964,9.35647,15.83762,0.54335,1.15871,9.51593,0.00000,5.04766,5.09651,160.00,160.00,0.00,0.00
10.2,149.94149,147.53036,9.14828,15.90617,0.51350,1.13857,9.48117,0.00000,5.00997,5.06234,160.00,160.00,0.00,0.00
10.3,150.18396,147.60411,8.94358,15.97498,0.48526,1.11891,9.44569,0.00000,4.97239,5.02828,160.00,160.00,0.00,0.00
10.4,150.42135,147.67128,8.74240,16.04406,0.45855,1.09972,9.40950,0.00000,4.93491,4.99435,160.00,160.00,0.00,0.00
10.5,150.65371,147.73223,8.54474,16.11339,0.43328,1.08100,9.37260,0.00000,4.89756,4.96053,160.00,160.00,0.00,0.00
10.6,150.88112,147.78729,8.35061,16.18299,0.40939,1.06272,9.33503,0.00000,4.86033,4.92685,160.00,160.00,0.00,0.00
10.7,151.10364,147.83677,8.16002,16.25284,0.38680,1.04488,9.29678,0.00000,4.82325,4.89329,160.00,160.00,0.00,0.00
10.8,151.32133,147.88099,7.97297,16.32295,0.36546,1.02746,9.25789,0.00000,4.78632,4.85986,160.00,160.00,0.00,0.00
10.9,151.53428,147.92021,7.78946,16.39332,0.34529,1.01046,9.21835,0.00000,4.74955,4.82657,160.00,160.00,0.00,0.00
11.0,151.74253,147.95472,7.60949,16.46395,0.32623,0.99386,9.17820,0.00000,4.71295,4.79341,160.00,160.00,0.00,0.00
11.1,151.94617,147.98477,7.43303,16.53483,0.30822,0.97766,9.13745,0.00000,4.67651,4.76039,160.00,160.00,0.00,0.00
11.2,152.14527,148.01058,7.26009,16.60597,0.29121,0.96184,9.09611,0.00000,4.64026,4.72751,160.00,160.00,0.00,0.00
11.3,152.33988,148.03240,7.09065,16.67736,0.27515,0.94639,9.05420,0.00000,4.60419,4.69478,160.00,160.00,0.00,0.00
11.4,152.53009,148.05043,6.92469,16.74900,0.25998,0.93130,9.01174,0.00000,4.56831,4.66219,160.00,160.00,0.00,0.00
11.5,152.71595,148.06487,6.76218,16.82089,0.24566,0.91657,8.96875,0.00000,4.53263,4.62975,160.00,160.00,0.00,0.00
11.6,152.89755,148.07591,6.60312,16.89304,0.23214,0.90218,8.92524,0.00000,4.49714,4.59746,160.00,160.00,0.00,0.00
11.7,153.07494,148.08374,6.44746,16.96544,0.21938,0.88812,8.88123,0.00000,4.46187,4.56532,160.00,160.00,0.00,0.00
11.8,153.24821,148.08851,6.29517,17.03808,0.20733,0.87440,8.83674,0.00000,4.42680,4.53333,160.00,160.00,0.00,0.00
11.9,153.41741,148.09039,6.14624,17.11098,0.19596,0.86099,8.79179,0.00000,4.39194,4.50150,160.00,160.00,0.00,0.00
12.0,153.58262,148.08954,6.00063,17.18413,0.18523,0.84789,8.74639,0.00000,4.35729,4.46982,160.00,160.00,0.00,0.00
12.1,153.74390,148.08608,5.85829,17.25753,0.17511,0.83509,8.70056,0.00000,4.32287,4.43830,160.00,160.00,0.00,0.00
12.2,153.90134,148.08016,5.71919,17.33117,0.16555,0.82258,8.65433,0.00000,4.28866,4.40693,160.00,160.00,0.00,0.00
12.3,154.05498,148.07189,5.58330,17.40507,0.15653,0.81036,8.60771,0.00000,4.25468,4.37573,160.00,160.00,0.00,0.00
12.4,154.20491,148.06141,5.45057,17.47921,0.14803,0.79843,8.56071,0.00000,4.22092,4.34469,160.00,160.00,0.00,0.00
12.5,154.35119,148.04881,5.32096,17.55359,0.14000,0.78676,8.51336,0.00000,4.18738,4.31381,160.00,160.00,0.00,0.00
12.6,154.49389,148.03421,5.19442,17.62823,0.13242,0.77536,8.46567,0.00000,4.15408,4.28309,160.00,160.00,0.00,0.00
12.7,154.63308,148.01770,5.07091,17.70311,0.12527,0.76421,8.41766,0.00000,4.12100,4.25254,160.00,160.00,0.00,0.00
12.8,154.76882,147.99938,4.95039,17.77824,0.11853,0.75332,8.36936,0.00000,4.08815,4.22215,160.00,160.00,0.00,0.00
12.9,154.90118,147.97934,4.83280,17.85361,0.11217,0.74267,8.32077,0.00000,4.05553,4.19192,160.00,160.00,0.00,0.00
13.0,155.03023,147.95766,4.71809,17.92923,0.10616,0.73226,8.27191,0.00000,4.02315,4.16186,160.00,160.00,0.00,0.00
13.1,155.15603,147.93441,4.60623,18.00510,0.10049,0.72208,8.22280,0.00000,3.99099,4.13197,160.00,160.00,0.00,0.00
13.2,155.27864,147.90968,4.49715,18.08121,0.09515,0.71213,8.17346,0.00000,3.95907,4.10225,160.00,160.00,0.00,0.00
13.3,155.39814,147.88353,4.39081,18.15756,0.09010,0.70240,8.12391,0.00000,3.92738,4.07269,160.00,160.00,0.00,0.00
13.4,155.51459,147.85603,4.28715,18.23416,0.08534,0.69289,8.07416,0.00000,3.89592,4.04331,160.00,160.00,0.00,0.00
13.5,155.62805,147.82723,4.18612,18.31100,0.08084,0.68359,8.02422,0.00000,3.86469,4.01409,160.00,160.00,0.00,0.00
13.6,155.73858,147.79720,4.08768,18.38809,0.07660,0.67449,7.97412,0.00000,3.83369,3.98504,160.00,160.00,0.00,0.00
13.7,155.84625,147.76600,3.99177,18.46542,0.07260,0.66559,7.92387,0.00000,3.80293,3.95616,160.00,160.00,0.00,0.00
13.8,155.95112,147.73367,3.89834,18.54299,0.06882,0.65689,7.87349,0.00000,3.77240,3.92745,160.00,160.00,0.00,0.00
13.9,156.05324,147.70026,3.80733,18.62081,0.06525,0.64837,7.82298,0.00000,3.74209,3.89891,160.00,160.00,0.00,0.00
14.0,156.15269,147.66583,3.71870,18.69886,0.06188,0.64004,7.77238,0.00000,3.71202,3.87054,160.00,160.00,0.00,0.00
14.1,156.24951,147.63040,3.63239,18.77717,0.05869,0.63189,7.72168,0.00000,3.68218,3.84234,160.00,160.00,0.00,0.00
14.2,156.34378,147.59403,3.54835,18.85571,0.05569,0.62392,7.67091,0.00000,3.65257,3.81431,160.00,160.00,0.00,0.00
14.3,156.43554,147.55676,3.46653,18.93450,0.05285,0.61612,7.62008,0.00000,3.62318,3.78645,160.00,160.00,0.00,0.00
14.4,156.52486,147.51861,3.38688,19.01352,0.05017,0.60848,7.56920,0.00000,3.59402,3.75876,160.00,160.00,0.00,0.00
14.5,156.61178,147.47963,3.30934,19.09279,0.04763,0.60101,7.51828,0.00000,3.56508,3.73124,160.00,160.00,0.00,0.00
14.6,156.69638,147.43984,3.23388,19.17230,0.04524,0.59370,7.46735,0.00000,3.53638,3.70389,160.00,160.00,0.00,0.00
14.7,156.77870,147.39929,3.16043,19.25205,0.04297,0.58655,7.41641,0.00000,3.50789,3.67671,160.00,160.00,0.00,0.00
14.8,156.85879,147.35799,3.08895,19.33204,0.04084,0.57954,7.36548,0.00000,3.47963,3.64971,160.00,160.00,0.00,0.00
14.9,156.93672,147.31597,3.01940,19.41228,0.03881,0.57269,7.31456,0.00000,3.45159,3.62287,160.00,160.00,0.00,0.00
15.0,157.01253,147.27326,2.95171,19.49275,0.03690,0.56598,7.26367,0.00000,3.42377,3.59620,160.00,160.00,0.00,0.00
15.1,157.08628,147.22988,2.88586,19.57346,0.03509,0.55941,7.21282,0.00000,3.39616,3.56970,160.00,160.00,0.00,0.00
15.2,157.15801,147.18587,2.82178,19.65442,0.03338,0.55297,7.16203,0.00000,3.36878,3.54337,160.00,160.00,0.00,0.00
15.3,157.22778,147.14123,2.75944,19.73561,0.03176,0.54667,7.11129,0.00000,3.34161,3.51721,160.00,160.00,0.00,0.00
15.4,157.29563,147.09599,2.69878,19.81704,0.03023,0.54051,7.06063,0.00000,3.31466,3.49122,160.00,160.00,0.00,0.00
15.5,157.36162,147.05017,2.63978,19.89871,0.02878,0.53447,7.01006,0.00000,3.28792,3.46540,160.00,160.00,0.00,0.00
15.6,157.42579,147.00378,2.58237,19.98062,0.02741,0.52855,6.95957,0.00000,3.26140,3.43974,160.00,160.00,0.00,0.00
15.7,157.48820,146.95685,2.52653,20.06277,0.02611,0.52276,6.90919,0.00000,3.23509,3.41425,160.00,160.00,0.00,0.00
15.8,157.54887,146.90939,2.47220,20.14516,0.02488,0.51709,6.85892,0.00000,3.20898,3.38893,160.00,160.00,0.00,0.00
15.9,157.60787,146.86141,2.41935,20.22778,0.02372,0.51153,6.80877,0.00000,3.18309,3.36378,160.00,160.00,0.00,0.00
16.0,157.66522,146.81294,2.36794,20.31064,0.02261,0.50609,6.75875,0.00000,3.15740,3.33879,160.00,160.00,0.00,0.00
16.1,157.72099,146.76398,2.31792,20.39374,0.02157,0.50075,6.70887,0.00000,3.13192,3.31397,160.00,160.00,0.00,0.00
16.2,157.77520,146.71454,2.26927,20.47708,0.02058,0.49553,6.65913,0.00000,3.10664,3.28931,160.00,160.00,0.00,0.00
16.3,157.82791,146.66465,2.22194,20.56065,0.01964,0.49041,6.60955,0.00000,3.08157,3.26482,160.00,160.00,0.00,0.00
16.4,157.87914,146.61430,2.17589,20.64446,0.01875,0.48540,6.56012,0.00000,3.05669,3.24049,160.00,160.00,0.00,0.00
16.5,157.92895,146.56352,2.13110,20.72851,0.01790,0.48048,6.51086,0.00000,3.03202,3.21632,160.00,160.00,0.00,0.00
16.6,157.97737,146.51231,2.08752,20.81279,0.01710,0.47567,6.46178,0.00000,3.00755,3.19232,160.00,160.00,0.00,0.00
