minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
56,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.3017029580108863,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
57,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.324947653689652,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
58,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.3481923493684178,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
59,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.3714370450471836,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
60,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.3946817407259493,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
61,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.417926436404715,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
62,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.4411711320834808,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
63,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.4644158277622465,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
64,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.4876605234410123,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
65,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.510905219119778,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
66,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.5341499147985438,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
67,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.5573946104773095,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
68,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.5806393061560753,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
69,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.603884001834841,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
70,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.6271286975136068,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
71,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.6503733931923725,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
72,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.6736180888711383,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
73,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.696862784549904,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
74,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.7201074802286698,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
75,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.7433521759074355,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
76,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.7665968715862013,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
77,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.789841567264967,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
78,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.8130862629437328,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
79,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.8363309586224985,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
80,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.8595756543012643,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
81,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.88282034998003,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
82,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.9060650456587958,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
83,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.9293097413375615,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
84,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.9525544370163272,0,false,2.886735731054311,0,1.4,0,0,0,0,0,0,0
85,2.886735731054311,1.6166666666666685,1.6166666666666685,1.2700690643876427,0,0,0,0,1.975799132695093,0,false,2.886735731054311,0,1.6166666666666685,0,0,0,0,0,0,0
86,2.886735731054311,1.8333333333333341,1.8333333333333341,1.053402397720977,0,0,0,0,1.995656305880653,0,false,2.886735731054311,0,1.8333333333333341,0,0,0,0,0,0,0
87,2.886735731054311,2.05,2.05,0.8367357310543113,0,0,0,0,2.012125956573007,0,false,2.886735731054311,0,2.05,0,0,0,0,0,0,0
88,2.886735731054311,2.2666666666666657,2.2666666666666657,0.6200690643876454,0,0,0,0,2.0252080847721556,0,false,2.886735731054311,0,2.2666666666666657,0,0,0,0,0,0,0
89,2.886735731054311,2.4833333333333343,2.4833333333333343,0.40340239772097686,0,0,0,0,2.034902690478098,0,false,2.886735731054311,0,2.4833333333333343,0,0,0,0,0,0,0
90,2.886735731054311,2.7,2.7,0.18673573105431096,0,0,0,0,2.041209773690835,0,false,2.886735731054311,0,2.7,0,0,0,0,0,0,0
91,2.886735731054311,2.9166666666666656,2.886735731054311,0,0.029930935612354492,0,0,0,2.044129334410366,0,false,2.886735731054311,0,2.9166666666666656,0,0,0,0,0,0,0
92,2.886735731054311,3.133333333333334,2.886735731054311,0,0.24659760227902305,0,0,0,2.0435975596675537,0,false,2.886735731054311,0,3.133333333333334,0,0,0,0,0,0,0
93,2.886735731054311,3.3499999999999996,2.886735731054311,0,0.4632642689456885,0,0,0,2.0392163275460984,0,false,2.886735731054311,0,3.3499999999999996,0,0,0,0,0,0,0
94,2.886735731054311,3.5666666666666655,2.886735731054311,0,0.6799309356123544,0,0,0,2.0309856380460003,0,false,2.886735731054311,0,3.5666666666666655,0,0,0,0,0,0,0
95,2.886735731054311,3.7833333333333314,2.886735731054311,0,0.8965976022790203,0,0,0,2.018905491167259,0,false,2.886735731054311,0,3.7833333333333314,0,0,0,0,0,0,0
