minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW
107,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
108,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
109,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
110,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
111,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
112,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
113,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
114,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
115,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
116,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
117,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
118,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
119,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,false,0,592.6983992293208,4,0,0
120,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
121,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
122,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
123,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
124,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
125,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
126,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
127,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
128,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
129,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
130,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
131,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
132,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
133,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
134,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
135,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
136,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
137,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
138,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
139,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
140,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
141,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
142,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
143,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
144,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
145,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
146,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
147,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
148,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
149,592.6983992293208,8,8,0,0,0,0,584.6983992293208,100,0,false,0,592.6983992293208,4,0,4
150,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
151,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
152,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
153,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
154,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
155,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
156,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
157,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
158,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
159,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
160,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
161,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
162,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
163,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
164,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
165,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
166,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
167,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
168,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
169,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
170,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
171,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
172,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
173,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
174,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
175,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
176,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
177,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
178,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
179,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
180,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
181,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
182,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
183,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
184,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
185,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
186,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
187,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
188,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
189,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
190,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
191,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
192,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
193,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
194,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
195,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
196,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
197,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
198,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
199,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
200,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
201,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
202,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
203,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
204,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
205,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
