input_voltage_V,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
3.4,0.00021870000199017002,0.021818181818181816,0.20000000000000018,3.4,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.425,0.00022072500200859748,0.021818181818181816,0.20000000000000018,3.425,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.45,0.000222750002027025,0.021818181818181816,0.20000000000000018,3.45,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.475,0.00022477500204545254,0.021818181818181816,0.20000000000000018,3.475,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.5,0.00022680000206388,0.021818181818181816,0.20000000000000018,3.5,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.525,0.00022882500208230752,0.021818181818181816,0.20000000000000018,3.525,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.55,0.00023085000210073498,0.021818181818181816,0.20000000000000018,3.55,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.575,0.0002328750021191625,0.021818181818181816,0.20000000000000018,3.575,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.6,0.00023490000213759004,0.021818181818181816,0.20000000000000018,3.6,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.625,0.0002369250021560175,0.021818181818181816,0.20000000000000018,3.625,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.65,0.000238950002174445,0.021818181818181816,0.20000000000000018,3.65,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.675,0.00024097500219287247,0.021818181818181816,0.20000000000000018,3.675,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.7,0.00024300000221130002,0.021818181818181816,0.20000000000000018,3.7,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.725,0.00024502500222972753,0.021818181818181816,0.20000000000000018,3.725,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.75,0.00024705000224815496,0.021818181818181816,0.20000000000000018,3.75,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
