relative_light_level,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
62.5,0.00008086232068636978,0.008086232068636979,3.2210289448998646,1.5086232068636978,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
63,0.00007922634549120874,0.007922634549120873,3.257020399193408,1.4922634549120872,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
63.5,0.0000775885913057163,0.00775885913057163,3.2930509912742414,1.4758859130571629,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
64,0.00007594948999954684,0.007594948999954684,3.3291112200099695,1.4594948999954684,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
64.5,0.00007430947486767361,0.007430947486767361,3.3651915529111807,1.443094748676736,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
65,0.00007266898017294265,0.007266898017294265,3.401282436195262,1.4266898017294263,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
65.5,0.00007102844068644975,0.007102844068644975,3.4373743048981056,1.4102844068644975,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
66,0.00006938829122677325,0.006938829122677325,3.4734575930109886,1.3938829122677325,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
66.5,0.00006774896619909998,0.006774896619909998,3.5095227436198004,1.3774896619909995,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
67,0.00006611089913528145,0.006611089913528145,3.545560219023808,1.3611089913528143,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
67.5,0.00006447452223585572,0.006447452223585572,3.5815605108111743,1.3447452223585572,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
68,0.00006284026591505992,0.0062840265915059925,3.617514149868682,1.328402659150599,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
68.5,0.0000612085583498491,0.006120855834984911,3.65341171630332,1.312085583498491,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
69,0.00005957982503392158,0.0059579825033921575,3.6892438492537254,1.2957982503392158,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
69.5,0.00005795448833772955,0.005795448833772955,3.72500125656995,1.2795448833772953,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
70,0.000056332967075434634,0.005633296707543463,3.760674724340438,1.2633296707543464,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
70.5,0.00005471567607973752,0.005471567607973752,3.796255126245774,1.2471567607973753,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
71,0.00005310302578548435,0.005310302578548435,3.831733432719344,1.2310302578548435,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
71.5,0.00005149542182291769,0.0051495421822917685,3.867100719895811,1.2149542182291768,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
72,0.00004989326462140461,0.004989326462140461,3.9023481783290985,1.198932646214046,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
72.5,0.00004829694902443528,0.004829694902443528,3.937467121462424,1.1829694902443526,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
73,0.0000467068639166442,0.00467068639166442,3.9724489938338277,1.167068639166442,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
73.5,0.0000451233918635624,0.00451233918635624,4.007285379001627,1.151233918635624,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
74,0.00004354690876476245,0.004354690876476245,4.041968007175226,1.1354690876476246,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
74.5,0.00004197778352101142,0.004197778352101142,4.076488762537749,1.1197778352101142,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
75,0.000040416377715996034,0.0040416377715996035,4.1108396902480875,1.1041637771599604,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
75.5,0.00003886304531313465,0.003886304531313465,4.145013003111037,1.0886304531313464,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
76,0.000037318132367937884,0.003731813236793788,4.179001087905367,1.0731813236793788,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
76.5,0.000035781976756327447,0.0035781976756327446,4.212796511360796,1.0578197675632743,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
77,0.00003425490791926932,0.0034254907919269322,4.246392025776075,1.042549079192693,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
77.5,0.00003273724662402315,0.0032737246624023153,4.2797805742714905,1.0273724662402315,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
78,0.000031229304742257235,0.0031229304742257237,4.31295529567034,1.0122930474225722,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
78.5,0.000029731385045223235,0.0029731385045223234,4.345909529005089,0.9973138504522323,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
79,0.00002824378101613366,0.002824378101613366,4.378636817645059,0.9824378101613366,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
79.5,0.000026766776679830605,0.0026766776679830605,4.411130913043727,0.967667766798306,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
80,0.00002530064644978481,0.002530064644978481,4.443385778104734,0.9530064644978481,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
80.5,0.000023845654992411796,0.0023845654992411796,4.47539559016694,0.938456549924118,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
81,0.000022402057108644064,0.0022402057108644063,4.5071547436098305,0.9240205710864406,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
81.5,0.000020970097632650422,0.0020970097632650423,4.538657852081691,0.9097009763265042,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
82,0.000019550011347546727,0.0019550011347546727,4.569899750353972,0.8955001134754672,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
82.5,0.00001814202291789987,0.0018142022917899871,4.600875495806203,0.8814202291789986,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
