"RepresentativePath","TopArea","Extension","Lines","Bytes","DuplicateCount","DuplicatePaths","Sha256"
"_dev/relabel_passthrough_update.cjs","_dev",".cjs","114","4748",,"_dev/relabel_passthrough_update.cjs","DDA024A512F698016BB9EBDAF6A9B78035E4A29277C639E58C0B5150342A8E50"
"_dev_scratch/stem_lab/_build_p1.py","_dev_scratch",".py","213","10011",,"_dev_scratch/stem_lab/_build_p1.py","0762606509BD6D0B84159D89BD9E70D8D19A99D8816DBAA049DE1C8B935AF0C5"
"_dev_scratch/stem_lab/_build_p2.py","_dev_scratch",".py","91","26325",,"_dev_scratch/stem_lab/_build_p2.py","987E3670A96459366C5754BA673D69CFE7A09B4B81D137A615A6BE66862CC0D5"
"_dev_scratch/stem_lab/_build_p3.py","_dev_scratch",".py","143","46006",,"_dev_scratch/stem_lab/_build_p3.py","79CE3DF681C31B7C0CBDDA2E59E0446D5CA1E7A42273E8BD42A5F0CBE06C172E"
"_dev_scratch/stem_lab/_build_p4.py","_dev_scratch",".py","338","38473",,"_dev_scratch/stem_lab/_build_p4.py","38EE8CA6AB0A8874C3CC50CCAFCC8E5A5150D294C74B2BAF61B29F9BF78C7B6E"
"_dev_scratch/stem_lab/_inject_data.py","_dev_scratch",".py","172","27803",,"_dev_scratch/stem_lab/_inject_data.py","E5D4422EF57D7141346AAFD41BD50A78F425D9B4501A583A95BB65ABB8BEC58D"
"_dev_scratch/stem_lab/restructure_anatomy.py","_dev_scratch",".py","912","68338",,"_dev_scratch/stem_lab/restructure_anatomy.py","45DAFD32B608915CEFC4751351FF85FDFAAA22B5476C1337F3807C236C1B23EF"
"a11y-audit/runtime-audit.js","a11y-audit",".js","374","13377",,"a11y-audit/runtime-audit.js","7EF527254751E2C9554098F565CD88390864C45F2A95D2D109FEBD9076E6B22D"
"a11y-audit/static-audit.js","a11y-audit",".js","521","21415",,"a11y-audit/static-audit.js","BCB9040CF0107BB49E909CED0CDE56ED2E359E31B6F521026E45F971BC9137A4"
"access_lens/access_lens.html","access_lens",".html","183","8625",,"access_lens/access_lens.html","9DFF3B6A7D42F70D062C37604925DDA7BCA2C7D9FC8438A78F458AA45CDFB98D"
"audio_input/convert_phonemes.py","audio_input",".py","32","815",,"audio_input/convert_phonemes.py","2D925066BC36A628347355B697AA136E9254088DA22ACEB6E380D7BA6DFD1FD0"
"catalog/cloudflare-worker/smoke_test.mjs","catalog",".mjs","228","14879",,"catalog/cloudflare-worker/smoke_test.mjs","55676E3FAD7A0AF296C5042A7BE7FF64FC82E2363274BF09FC52AB795771B4FC"
"catalog/cloudflare-worker/src/index.js","catalog",".js","775","40845",,"catalog/cloudflare-worker/src/index.js","F4915DAA49202E86B1D6DF3D1594312CA95AD0CBFEE803644ADA374577AA44AD"
"catalog/generate_index.js","catalog",".js","71","2033",,"catalog/generate_index.js","861B98D33ADD80A952FB36197F1DF3EE04ABE67C54937F086CD861E0D76B5D94"
"dev-tools/_apply_docsuite_theme.cjs","dev-tools",".cjs","21","1131",,"dev-tools/_apply_docsuite_theme.cjs","B084D150D1E6FC70E122E45328151BFE6D1E19373C08709B6807C035350369FC"
"dev-tools/audit_aria.js","dev-tools",".js","48","1731",,"dev-tools/audit_aria.js","7291FD4809AA0FC0ECEF3BF024061DC3B4C4BEE0B6E8341252E2A65E578FF34D"
"dev-tools/audit_extracted_module.py","dev-tools",".py","430","19662",,"dev-tools/audit_extracted_module.py","CA2053653F8691BBCB6F6A41B4D787D14EAB9FBE3388935385D3FFF439E0B858"
"dev-tools/audit_pair_drift.js","dev-tools",".js","255","13478",,"dev-tools/audit_pair_drift.js","2537EE34508C15AC6EA8F00474329088A72D983D78B6B3A6812B048CB8E762FC"
"dev-tools/build_language_pack.cjs","dev-tools",".cjs","427","19443",,"dev-tools/build_language_pack.cjs","7B4BA209AA4678B2EFE77203B0AE6BD3C5190DBD4F8912F3F4B47B5535A0A6DA"
"dev-tools/build_priority_packs.cjs","dev-tools",".cjs","192","8413",,"dev-tools/build_priority_packs.cjs","04639AAD496F74790672990187A65372CDD5DF72713979B61EBCB96231213273"
"dev-tools/check_aria_handler.cjs","dev-tools",".cjs","247","11820",,"dev-tools/check_aria_handler.cjs","D33580379C644B77FE75EAFEF0CD202E7D2B573D2F33E7BBBE343DA8F5AFD680"
"dev-tools/check_build_smoke.cjs","dev-tools",".cjs","141","6302",,"dev-tools/check_build_smoke.cjs","8AAC9B8EC827809C4EEFF1B85B9CE065C004FD159414C8C6820302BAAED82DE1"
"dev-tools/check_callgemini_jsonmode.cjs","dev-tools",".cjs","166","6792",,"dev-tools/check_callgemini_jsonmode.cjs","FF04362C45D77BB7FAD5F055C34BCFA18FF96BCEF69EE6355DEC4C15CD035052"
"dev-tools/check_cmd_i18n.cjs","dev-tools",".cjs","63","3809",,"dev-tools/check_cmd_i18n.cjs","1988D812F505A82CFB128C7D77C90D725E637905F8ECD38C310D14BCFBA953CC"
"dev-tools/check_cors_strict.cjs","dev-tools",".cjs","121","4841",,"dev-tools/check_cors_strict.cjs","15FAF11033AAF3BDCBB190555C81478B9E6F092A5F83284452F9DDC6AE7EBA34"
"dev-tools/check_css_template_literals.cjs","dev-tools",".cjs","169","7145",,"dev-tools/check_css_template_literals.cjs","45E0764103866313CCF0382593EF3C346C37299BC6437EB68362C0A3B1AECD1E"
"dev-tools/check_dead_modules.cjs","dev-tools",".cjs","187","10135",,"dev-tools/check_dead_modules.cjs","DA25BE3F918B8E7ADA2F9BCC44D045B07C4DC9CD001B3D2EEE450E39DAB9D07E"
"dev-tools/check_deploy_mirror.cjs","dev-tools",".cjs","144","6849",,"dev-tools/check_deploy_mirror.cjs","0BD976CAB6CEBB96EABD0A1FAE4706E597F562B436F8916DBA1666F576DE0BDB"
"dev-tools/check_em_en_dashes.cjs","dev-tools",".cjs","154","5348",,"dev-tools/check_em_en_dashes.cjs","A3A639129FD707A383A84B8D50008DC8D25FE2EB289A957AC669AF187EB20781"
"dev-tools/check_eval.cjs","dev-tools",".cjs","153","6433",,"dev-tools/check_eval.cjs","6619CEA579EE5C6E62A6895B615B706648555BE323C694793CE09875645B9C9D"
"dev-tools/check_find_deref.cjs","dev-tools",".cjs","212","8072",,"dev-tools/check_find_deref.cjs","5700F187CB9049C83BACDFFBC51CD6D9395B39E8F4487819E493EFD36564B0D0"
"dev-tools/check_firebase_functions.cjs","dev-tools",".cjs","197","8744",,"dev-tools/check_firebase_functions.cjs","0DD1756B4F4C3821482938D9FA56C1D582D107BA16ABABD97590F1FED83F696F"
"dev-tools/check_forge_contract_sync.cjs","dev-tools",".cjs","89","4442",,"dev-tools/check_forge_contract_sync.cjs","AD412BFE266D2FB5D9184C7A66D3AD0F4DB18A53B74305988ED9FBADBE5A9262"
"dev-tools/check_free_vars.cjs","dev-tools",".cjs","120","7165",,"dev-tools/check_free_vars.cjs","7E735B273152E4833EA87309C81856B5B8ED0573F45679E43C5EC203593C8CFA"
"dev-tools/check_gauntlet_stages.cjs","dev-tools",".cjs","45","1988",,"dev-tools/check_gauntlet_stages.cjs","438883D69FBABF2020C1239836F3481DC1E42A152373F1A5BE166B20F451696E"
"dev-tools/check_iife_lazy_lookup.cjs","dev-tools",".cjs","216","8339",,"dev-tools/check_iife_lazy_lookup.cjs","CE6C457F9E96C1FCD2738C0DB13FF02E969513409E410E10A412DA1C3DCA1CF8"
"dev-tools/check_keyless_map.cjs","dev-tools",".cjs","180","8489",,"dev-tools/check_keyless_map.cjs","DBB25EC883E162182960C1A849B5675987308561C6419D23F24D4070861BEE61"
"dev-tools/check_lang_json.cjs","dev-tools",".cjs","33","1651",,"dev-tools/check_lang_json.cjs","FD9D7B1B9DAD6DAD91D48D44A87B87277BF8416EE50F907431B4AA9BDDFE5687"
