modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,caterpillars_baseline,caterpillars_experiment,bluetits_baseline,bluetits_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment,soil_detritus_baseline,soil_detritus_experiment,soil_decomposers_baseline,soil_decomposers_experiment,soil_nutrients_baseline,soil_nutrients_experiment,soil_exported_baseline,soil_exported_experiment
7.1,70.33199,70.33199,16.36218,16.36218,2.97217,2.97217,9.92612,9.92612,5.99503,5.99503,6.88787,6.88787,6.44808,6.44808,180.00,180.00,10.00,10.00,42.29512845,42.29512845,18.94412647,18.94412647,0.01811535,0.01811535,0.00000000,0.00000000
7.2,70.76939,70.76939,16.07525,16.07525,2.83597,2.83597,9.91288,9.91288,5.96414,5.96414,6.73138,6.73138,6.45143,6.45143,180.00,180.00,10.00,10.00,42.29001771,42.29001771,19.17600997,19.17600997,0.01833663,0.01833663,0.00000000,0.00000000
7.3,71.24116,71.24116,15.79067,15.79067,2.70521,2.70521,9.89873,9.89873,5.93270,5.93270,6.57706,6.57706,6.45408,6.45408,180.00,180.00,10.00,10.00,42.28043522,42.28043522,19.41044778,19.41044778,0.01855990,0.01855990,0.00000000,0.00000000
7.4,71.74703,71.74703,15.50855,15.50855,2.57972,2.57972,9.88367,9.88367,5.90075,5.90075,6.42492,6.42492,6.45603,6.45603,180.00,180.00,10.00,10.00,42.26640315,42.26640315,19.64745350,19.64745350,0.01878517,0.01878517,0.00000000,0.00000000
7.5,72.28677,72.28677,15.22898,15.22898,2.45937,2.45937,9.86770,9.86770,5.86831,5.86831,6.27500,6.27500,6.45727,6.45727,180.00,180.00,10.00,10.00,42.24794343,42.24794343,19.88704045,19.88704045,0.01901244,0.01901244,0.00000000,0.00000000
7.6,72.86013,72.86013,14.95207,14.95207,2.34401,2.34401,9.85084,9.85084,5.83541,5.83541,6.12733,6.12733,6.45780,6.45780,180.00,180.00,10.00,10.00,42.22507772,42.22507772,20.12922155,20.12922155,0.01924170,0.01924170,0.00000000,0.00000000
7.7,73.46688,73.46688,14.67791,14.67791,2.23349,2.23349,9.83307,9.83307,5.80209,5.80209,5.98193,5.98193,6.45763,6.45763,180.00,180.00,10.00,10.00,42.19782742,42.19782742,20.37400941,20.37400941,0.01947295,0.01947295,0.00000000,0.00000000
7.8,74.10681,74.10681,14.40658,14.40658,2.12766,2.12766,9.81441,9.81441,5.76836,5.76836,5.83882,5.83882,6.45675,6.45675,180.00,180.00,10.00,10.00,42.16621374,42.16621374,20.62141623,20.62141623,0.01970619,0.01970619,0.00000000,0.00000000
7.9,74.77971,74.77971,14.13817,14.13817,2.02638,2.02638,9.79487,9.79487,5.73426,5.73426,5.69803,5.69803,6.45515,6.45515,180.00,180.00,10.00,10.00,42.13025764,42.13025764,20.87145384,20.87145384,0.01994140,0.01994140,0.00000000,0.00000000
8.0,75.48537,75.48537,13.87277,13.87277,1.92949,1.92949,9.77444,9.77444,5.69981,5.69981,5.55957,5.55957,6.45284,6.45284,180.00,180.00,10.00,10.00,42.08997991,43.77991060,21.12413362,4.22482672,0.02017858,0.02017858,0.00000000,0.00000000
8.1,76.22360,75.09174,13.61043,13.61017,1.83686,1.83682,9.75314,9.75314,5.66504,5.66504,5.42346,5.42336,6.44982,6.44982,180.00,180.00,10.00,10.00,42.04540116,43.88477447,21.37946655,4.28089872,0.02041773,0.00412621,0.00000000,0.00000000
8.2,76.99421,74.56109,13.35124,13.34993,1.74833,1.74815,9.73097,9.73096,5.62998,5.62998,5.28971,5.28925,6.44610,6.44609,180.00,180.00,10.00,10.00,41.99654182,43.98649743,21.63746316,4.33773727,0.02065883,0.00418307,0.00000000,0.00000000
8.3,77.79703,74.05419,13.09527,13.09215,1.66376,1.66335,9.70794,9.70793,5.59465,5.59465,5.15833,5.15726,6.44166,6.44165,180.00,180.00,10.00,10.00,41.94342221,44.08510714,21.89813349,4.39535167,0.02090188,0.00424066,0.00000000,0.00000000
8.4,78.63187,73.57065,12.84256,12.83692,1.58300,1.58228,9.68406,9.68404,5.55908,5.55907,5.02934,5.02740,6.43651,6.43650,180.00,180.00,10.00,10.00,41.88606249,44.18063944,22.16148711,4.45375130,0.02114686,0.00429899,0.00000000,0.00000000
8.5,79.49858,73.11008,12.59317,12.58433,1.50593,1.50483,9.65934,9.65930,5.52329,5.52328,4.90273,4.89971,6.43066,6.43064,180.00,180.00,10.00,10.00,41.82448276,44.27313004,22.42753307,4.51294566,0.02139377,0.00435807,0.00000000,0.00000000
8.6,80.39699,72.67210,12.34716,12.33448,1.43239,1.43086,9.63378,9.63371,5.48731,5.48729,4.77851,4.77421,6.42412,6.42407,180.00,180.00,10.00,10.00,41.75870301,44.36261446,22.69627988,4.57294435,0.02164259,0.00441790,0.00000000,0.00000000
8.7,81.32694,72.25633,12.10458,12.08745,1.36225,1.36025,9.60741,9.60729,5.45116,5.45113,4.65668,4.65092,6.41687,6.41680,180.00,180.00,10.00,10.00,41.68874318,44.44912806,22.96773553,4.63375707,0.02189330,0.00447851,0.00000000,0.00000000
8.8,82.28828,71.86241,11.86546,11.84333,1.29539,1.29287,9.58023,9.58005,5.41486,5.41482,4.53725,4.52985,6.40894,6.40883,180.00,180.00,10.00,10.00,41.61462316,44.53270593,23.24190740,4.69539362,0.02214590,0.00453989,0.00000000,0.00000000
8.9,83.28087,71.48996,11.62984,11.60218,1.23166,1.22861,9.55224,9.55199,5.37843,5.37838,4.42020,4.41101,6.40032,6.40016,180.00,180.00,10.00,10.00,41.53636282,44.61338296,23.51880231,4.75786390,0.02240036,0.00460205,0.00000000,0.00000000
